0:00:00:00 Starting a new session
0:00:00:00 Loaded a total of 6 password hashes with 6 different salts
0:00:00:00 Remaining 6 password hashes with 6 different salts
0:00:00:00 - Hash type: Traditional DES (lengths up to 8, longer passwords split)
0:00:00:00 - Algorithm: 24/32 4K
0:00:00:00 - Candidate passwords will be buffered and tried in chunks of 128
0:00:00:00 Proceeding with "single crack" mode
0:00:00:00 - 956 preprocessed word mangling rules
0:00:00:00 - Allocated 6 buffers of 64 candidate passwords each
0:00:00:00 - Rule #1: ':' accepted as ''
0:00:00:00 - Rule #2: '-s x**' rejected
0:00:00:00 - Rule #3: '-c (?acQ' accepted as '(?acQ'
0:00:00:00 - Rule #4: '-c lQ' accepted as 'lQ'
0:00:00:00 - Rule #5: '-s-c x**MlQ' rejected
0:00:00:00 - Rule #6: '>6'6' accepted
0:00:00:00 - Rule #7: '>7l'7' accepted
0:00:00:00 - Rule #8: '>6/?ul'6' accepted
0:00:00:00 - Rule #9: '>5'5' accepted
0:00:00:00 - Rule #10: '<*d' accepted
0:00:00:00 - Rule #11: 'rc' accepted
0:00:00:00 - Rule #12: '<*dMcQ' accepted
0:00:00:00 - Rule #13: '>5/?ul'5' accepted
0:00:00:00 - Rule #14: 'uQ' accepted
0:00:00:00 - Rule #15: 'r(?al' accepted
0:00:00:00 - Rule #16: '<*!?Alp' accepted
0:00:00:00 - Rule #17: '<*!?Acp' accepted
0:00:00:00 - Rule #18: '<*cQd' accepted
0:00:00:00 - Rule #19: '>7/?u'7' accepted
0:00:00:00 - Rule #20: '>4l'4' accepted
0:00:00:00 - Rule #21: '<+(?lcr' accepted
0:00:00:00 - Rule #22: '<+r(?lcr' accepted
0:00:00:00 - Rule #23: '>3'3' accepted
0:00:00:00 - Rule #24: '>4/?u'4' accepted
0:00:00:00 - Rule #25: '>3/?ul'3' accepted
0:00:00:00 - Rule #26: 'uQr' accepted
0:00:00:00 - Rule #27: '<*lQf' accepted
0:00:00:00 - Rule #28: '>2x12' accepted
0:00:00:00 - Rule #29: '>3x13' accepted
0:00:00:00 - Rule #30: '>4x14' accepted
0:00:00:00 - Rule #31: '>5x15' accepted
0:00:00:00 - Rule #32: '>6x16' accepted
0:00:00:00 - Rule #33: '>7x17' accepted
0:00:00:00 - Rule #34: '>8x18' accepted
0:00:00:00 - Rule #35: '>3x22' accepted
0:00:00:00 - Rule #36: '>4x23' accepted
0:00:00:00 - Rule #37: '>5x24' accepted
0:00:00:00 - Rule #38: '>6x25' accepted
0:00:00:00 - Rule #39: '>7x26' accepted
0:00:00:00 - Rule #40: '>8x27' accepted
0:00:00:00 - Rule #41: '>9x28' accepted
0:00:00:00 - Rule #42: '>4x32' accepted
0:00:00:00 - Rule #43: '>5x33' accepted
0:00:00:00 - Rule #44: '>6x34' accepted
0:00:00:00 - Rule #45: '>7x35' accepted
0:00:00:00 - Rule #46: '>8x36' accepted
0:00:00:00 - Rule #47: '>9x37' accepted
0:00:00:00 - Rule #48: '>2/?ulx12' accepted
0:00:00:00 - Rule #49: '>3/?ulx13' accepted
0:00:00:00 - Rule #50: '>4/?ulx14' accepted
0:00:00:00 - Rule #51: '>5/?ulx15' accepted
0:00:00:00 - Rule #52: '>6/?ulx16' accepted
0:00:00:00 - Rule #53: '>7/?ulx17' accepted
0:00:00:00 - Rule #54: '>8/?ulx18' accepted
0:00:00:00 - Rule #55: '>3/?ulx22' accepted
0:00:00:00 - Rule #56: '>4/?ulx23' accepted
0:00:00:00 - Rule #57: '>5/?ulx24' accepted
0:00:00:00 - Rule #58: '>6/?ulx25' accepted
0:00:00:00 - Rule #59: '>7/?ulx26' accepted
0:00:00:00 - Rule #60: '>8/?ulx27' accepted
0:00:00:00 - Rule #61: '>9/?ulx28' accepted
0:00:00:00 - Rule #62: '>4/?ulx32' accepted
0:00:00:00 - Rule #63: '>5/?ulx33' accepted
0:00:00:00 - Rule #64: '>6/?ulx34' accepted
0:00:00:00 - Rule #65: '>7/?ulx35' accepted
0:00:00:00 - Rule #66: '>8/?ulx36' accepted
0:00:00:00 - Rule #67: '>9/?ulx37' accepted
0:00:00:00 - Rule #68: '<*l$1' accepted
0:00:00:00 - Rule #69: '<*l$2' accepted
0:00:00:00 - Rule #70: '<*l$3' accepted
0:00:00:00 + Cracked root
0:00:00:00 - Rule #71: '<*l$4' accepted
0:00:00:00 + Cracked test1
0:00:00:00 - Rule #72: '<*l$5' accepted
0:00:00:00 - Oldest still in use is now rule #71
0:00:00:00 - Rule #73: '<*l$6' accepted
0:00:00:00 - Rule #74: '<*l$7' accepted
0:00:00:00 - Rule #75: '<*l$8' accepted
0:00:00:00 - Rule #76: '<*l$9' accepted
0:00:00:00 - Rule #77: '<*l$!' accepted
0:00:00:00 - Rule #78: '<*l$0' accepted
0:00:00:00 - Rule #79: '<*l$a' accepted
0:00:00:00 - Rule #80: '<*l$b' accepted
0:00:00:00 - Rule #81: '<*l$c' accepted
0:00:00:00 - Rule #82: '<*l$d' accepted
0:00:00:00 - Rule #83: '<*l$e' accepted
0:00:00:00 - Rule #84: '<*l$f' accepted
0:00:00:00 - Rule #85: '<*l$g' accepted
0:00:00:00 - Rule #86: '<*l$h' accepted
